campaign	temp	IN conc cm-3	lat	lon	alt hpa	notes
bigg 73	-15	1E-05	-22.5	175	1000	0
bigg 73	-15	1E-05	-22.5	185	1000	0
bigg 73	-15	7E-06	-22.5	195	1000	0
bigg 73	-15	1.3E-05	-22.5	205	1000	0
bigg 73	-15	1.3E-05	-27.5	95	1000	0
bigg 73	-15	1.8E-05	-27.5	105	1000	0
bigg 73	-15	1.3E-05	-27.5	112	1000	0
bigg 73	-15	3E-06	-27.5	175	1000	0
bigg 73	-15	1E-05	-27.5	185	1000	0
bigg 73	-15	2.3E-05	-27.5	195	1000	0
bigg 73	-15	3.1E-05	-32.5	85	1000	0
bigg 73	-15	2.2E-05	-32.5	95	1000	0
bigg 73	-15	2.3E-05	-32.5	105	1000	0
bigg 73	-15	9.1E-05	-32.5	112	1000	0
bigg 73	-15	5.1E-05	-32.5	156	1000	0
bigg 73	-15	1.1E-05	-32.5	165	1000	0
bigg 73	-15	2E-05	-32.5	175	1000	0
bigg 73	-15	1.7E-05	-32.5	185	1000	0
bigg 73	-15	2.3E-05	-37.5	75	1000	0
bigg 73	-15	3.4E-05	-37.5	85	1000	0
bigg 73	-15	5.3E-05	-37.5	95	1000	0
bigg 73	-15	2.7E-05	-37.5	105	1000	0
bigg 73	-15	4.5E-05	-37.5	115	1000	0
bigg 73	-15	2E-05	-37.5	125	1000	0
bigg 73	-15	2.8E-05	-37.5	135	1000	0
bigg 73	-15	8.5E-05	-39	145	1000	0
bigg 73	-15	3.1E-05	-37.5	155	1000	0
bigg 73	-15	2E-05	-37.5	165	1000	0
bigg 73	-15	2.4E-05	-37.5	175	1000	0
bigg 73	-15	2.1E-05	-37.5	185	1000	0
bigg 73	-15	4.5E-05	-37.5	195	1000	0
bigg 73	-15	0.00025	-37.5	205	1000	0
bigg 73	-15	2.7E-05	-42.5	85	1000	0
bigg 73	-15	2.7E-05	-42.5	95	1000	0
bigg 73	-15	3.6E-05	-42.5	105	1000	0
bigg 73	-15	0.000166	-42.5	115	1000	0
bigg 73	-15	4.6E-05	-42.5	125	1000	0
bigg 73	-15	7.3E-05	-42.5	135	1000	0
bigg 73	-15	3.1E-05	-42.5	145	1000	0
bigg 73	-15	1.6E-05	-42.5	155	1000	0
bigg 73	-15	0.00012	-42.5	165	1000	0
bigg 73	-15	7.3E-05	-42.5	175	1000	0
bigg 73	-15	4.9E-05	-42.5	185	1000	0
bigg 73	-15	0.000107	-42.5	195	1000	0
bigg 73	-15	2.7E-05	-47.5	75	1000	0
bigg 73	-15	1.6E-05	-47.5	85	1000	0
bigg 73	-15	1.8E-05	-47.5	95	1000	0
bigg 73	-15	1.4E-05	-47.5	105	1000	0
bigg 73	-15	2E-05	-47.5	115	1000	0
bigg 73	-15	2E-05	-47.5	125	1000	0
bigg 73	-15	1.5E-05	-47.5	135	1000	0
bigg 73	-15	1.2E-05	-47.5	145	1000	0
bigg 73	-15	1.5E-05	-47.5	155	1000	0
bigg 73	-15	4.3E-05	-47.5	165	1000	0
bigg 73	-15	8E-05	-47.5	175	1000	0
bigg 73	-15	1.5E-05	-52.5	65	1000	0
bigg 73	-15	7E-06	-52.5	75	1000	0
bigg 73	-15	8E-06	-52.5	85	1000	0
bigg 73	-15	1.2E-05	-52.5	95	1000	0
bigg 73	-15	2.2E-05	-52.5	105	1000	0
bigg 73	-15	2.4E-05	-52.5	115	1000	0
bigg 73	-15	9E-06	-52.5	125	1000	0
bigg 73	-15	1.3E-05	-52.5	135	1000	0
bigg 73	-15	1.3E-05	-52.5	145	1000	0
bigg 73	-15	1E-05	-52.5	155	1000	0
bigg 73	-15	1.6E-05	-52.5	165	1000	0
bigg 73	-15	1.1E-05	-52.5	175	1000	0
bigg 73	-15	1.3E-05	-57.5	75	1000	0
bigg 73	-15	5.8E-05	-57.5	85	1000	0
bigg 73	-15	1.3E-05	-57.5	95	1000	0
bigg 73	-15	1.3E-05	-57.5	105	1000	0
bigg 73	-15	1.2E-05	-57.5	115	1000	0
bigg 73	-15	3.5E-05	-57.5	125	1000	0
bigg 73	-15	1.3E-05	-57.5	135	1000	0
bigg 73	-15	2.2E-05	-57.5	145	1000	0
bigg 73	-15	2.2E-05	-57.5	155	1000	0
bigg 73	-15	1.7E-05	-57.5	165	1000	0
bigg 73	-15	1.2E-05	-57.5	175	1000	0
bigg 73	-15	1.8E-05	-57.5	185	1000	0
bigg 73	-15	4E-05	-57.5	195	1000	0
bigg 73	-15	3E-06	-57.5	205	1000	0
bigg 73	-15	1.3E-05	-57.5	215	1000	0
bigg 73	-15	2E-05	-62.5	75	1000	0
bigg 73	-15	1.5E-05	-62.5	85	1000	0
bigg 73	-15	1.5E-05	-62.5	95	1000	0
bigg 73	-15	1.5E-05	-62.5	105	1000	0
bigg 73	-15	8E-06	-62.5	115	1000	0
bigg 73	-15	1.7E-05	-62.5	125	1000	0
bigg 73	-15	7E-06	-62.5	135	1000	0
bigg 73	-15	9E-06	-62.5	145	1000	0
bigg 73	-15	1.7E-05	-62.5	155	1000	0
bigg 73	-15	1.4E-05	-62.5	165	1000	0
bigg 73	-15	1E-05	-62.5	175	1000	0
bigg 73	-15	7E-06	-62.5	185	1000	0
bigg 73	-15	1.1E-05	-62.5	195	1000	0
bigg 73	-15	7E-06	-62.5	205	1000	0
bigg 73	-15	8E-06	-62.5	215	1000	0
bigg 73	-15	2E-05	-67.5	165	1000	0
bigg 73	-15	3E-06	-67.5	175	1000	0
bigg 73	-15	1E-05	-67.5	185	1000	0
bigg 73	-15	1.2E-05	-72.5	175	1000	0
bigg 73	-15	1.4E-05	-72.5	185	1000	0
DeMott2015	-13.2	0.0000006	31.3	-125.6	1000	Eastern
DeMott2015	-15	0.0000006	31.3	-125.6	1000	Eastern
DeMott2015	-17	0.0000025	31.3	-125.6	1000	Eastern
DeMott2015	-18.5	0.000007	31.3	-125.6	1000	Eastern
DeMott2015	-20	0.000012	31.3	-125.6	1000	Eastern
DeMott2015	-22.2	0.00004	31.3	-125.6	1000	Eastern
DeMott2015	-17	0.00000058	23.1	-151.7	1000	Eastern
DeMott2015	-18.5	0.0000031	23.1	-151.7	1000	Eastern
DeMott2015	-20	0.0000064	23.1	-151.7	1000	Eastern
DeMott2015	-20	0.0000027	23.1	-151.7	1000	Eastern
DeMott2015	-22.2	0.000015	23.1	-151.7	1000	Eastern
DeMott2015	-22.2	0.0000082	23.1	-151.7	1000	Eastern
DeMott2015	-12.6	0.000001	18.27	-65.75	1000	Puerto
DeMott2015	-16.1	0.000003	18.27	-65.75	1000	Puerto
DeMott2015	-18.6	0.0000096	18.27	-65.75	1000	Puerto
DeMott2015	-13.9	0.0000015	18.38	-65.62	1000	Puerto
DeMott2015	-15.9	0.0000063	18.38	-65.62	1000	Puerto
DeMott2015	-18.3	0.0000271	18.38	-65.62	1000	Puerto
DeMott2015	-12.6	0.0000007	18.38	-65.62	1000	Puerto
DeMott2015	-14.4	0.0000015	18.38	-65.62	1000	Puerto
DeMott2015	-16.7	0.0000015	18.38	-65.62	1000	Puerto
DeMott2015	-18.3	0.0000063	18.38	-65.62	1000	Puerto
DeMott2015	-14	0.000015	17.5	-64.5	1000	C-130
DeMott2015	-16	0.000015	17.5	-64.5	1000	C-130
DeMott2015	-18	0.000055	17.5	-64.5	1000	C-130
DeMott2015	-20	0.000065	17.5	-64.5	1000	C-130
DeMott2015	-21	0.0001	17.5	-64.5	1000	C-130
DeMott2015	-22	0.000121	17.5	-64.5	1000	C-130
DeMott2015	-23	0.000241	17.5	-64.5	1000	C-130
DeMott2015	-24	0.000335	17.5	-64.5	1000	C-130
DeMott2015	-6	0.000000018	18.38	-65.62	1000	Puerto
DeMott2015	-7	0.000000036	18.38	-65.62	1000	Puerto
DeMott2015	-8	0.000000095	18.38	-65.62	1000	Puerto
DeMott2015	-8.7	0.00000018	18.38	-65.62	1000	Puerto
DeMott2015	-12.9	0.00000032	18.38	-65.62	1000	Puerto
DeMott2015	-13.7	0.0000004	18.38	-65.62	1000	Puerto
DeMott2015	-22.5	0.0000562	71.7	-71.12	1000	Arctic
DeMott2015	-25	0.0000805	73.93	-75.27	1000	Arctic
DeMott2015	-27.5	0.0004629	73.26	-57.88	1000	Arctic
DeMott2015	-12	0.0000002	62.57	173.7	1000	Bering
DeMott2015	-14	0.0000031	62.57	173.7	1000	Bering
