campaign	temp	IN conc cm-3	lat	lon	alt hpa	notes
INSPECT-I	-34.17	0.01273	40.455	-106.744	1000	0
INSPECT-I	-33.62	0.03123	40.455	-106.744	1000	0
INSPECT-I	-33.28	0.01173	40.455	-106.744	1000	0
INSPECT-I	-33	0.07174	40.455	-106.744	1000	0
INSPECT-I	-32.53	0.10335	40.455	-106.744	1000	0
INSPECT-I	-31.4	0.00795	40.455	-106.744	1000	0
INSPECT-I	-31.33	0.07308	40.455	-106.744	1000	0
INSPECT-I	-30.82	0.00854	40.455	-106.744	1000	0
INSPECT-I	-30.42	0.00611	40.455	-106.744	1000	0
INSPECT-I	-30.42	0.10358	40.455	-106.744	1000	0
INSPECT-I	-30.18	0.00374	40.455	-106.744	1000	0
INSPECT-I	-28.83	0.03602	40.455	-106.744	1000	0
INSPECT-I	-26.87	0.03219	40.455	-106.744	1000	0
INSPECT-II	-31.8	0.019	40.455	-106.744	1000	0
INSPECT-II	-30.08	0.0174	40.455	-106.744	1000	0
INSPECT-II	-25.82	0.00014	40.455	-106.744	1000	0
INSPECT-II	-25.59	0.00055	40.455	-106.744	1000	0
INSPECT-II	-25.43	0.00135	40.455	-106.744	1000	0
INSPECT-II	-24.04	0.00153	40.455	-106.744	1000	0
INSPECT-II	-23.43	0.01119	40.455	-106.744	1000	0
INSPECT-II	-23.32	0.00318	40.455	-106.744	1000	0
INSPECT-II	-23.27	0.00137	40.455	-106.744	1000	0
INSPECT-II	-16.77	0.00097	40.455	-106.744	1000	0
INSPECT-II	-14.79	0.00151	40.455	-106.744	1000	0
AMAZE-08	-31.88	0.00893	-2.594583333	-60.20928333	1000	0
AMAZE-08	-31.55	0.00641	-2.594583333	-60.20928333	1000	0
AMAZE-08	-31.53	0.00225	-2.594583333	-60.20928333	1000	0
AMAZE-08	-31.42	0.00233	-2.594583333	-60.20928333	1000	0
AMAZE-08	-31.29	0.00348	-2.594583333	-60.20928333	1000	0
AMAZE-08	-31.27	0.00783	-2.594583333	-60.20928333	1000	0
AMAZE-08	-31.02	0.00374	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.92	0.01313	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.89	0.01631	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.74	0.01147	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.74	0.01593	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.67	0.01127	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.59	0.01149	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.57	0.00323	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.5	0.00606	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.45	0.01412	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.42	0.01233	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.42	0.0113	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.4	0.01368	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.39	0.01138	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.37	0.01329	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.36	0.01882	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.36	0.00815	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.33	0.0124	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.33	0.01453	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.32	0.00622	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.27	0.00923	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.2	0.01842	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.18	0.01027	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.17	0.01318	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.16	0.02604	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.12	0.01469	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30.09	0.00258	-2.594583333	-60.20928333	1000	0
AMAZE-08	-30	0.00758	-2.594583333	-60.20928333	1000	0
AMAZE-08	-29.98	0.01848	-2.594583333	-60.20928333	1000	0
AMAZE-08	-29.97	0.01236	-2.594583333	-60.20928333	1000	0
